Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type,CAS
125,64,10,CCCC[N+](CC)(CC)CC,CCCC[N+](CC)(CC)CC.[Br-],Bromide,13028-69-8
126,64,10,CCCC[N+](CC)(CC)CC,CCCC[N+](CC)(CC)CC.[Cl-],Chloride,24344-65-8
139,71,10,CCC[N+](C)(CCC)CCC,CCC[N+](C)(CCC)CCC.[Br-],Bromide,61175-75-5
140,71,10,CCC[N+](C)(CCC)CCC,CCC[N+](C)(CCC)CCC.[Cl-],Chloride,75373-66-9
143,73,10,CCC[N+](CC)(CC)CCC,CCC[N+](CC)(CC)CCC.[Br-],Bromide,71095-63-1
180,99,11,CCCCC[N+](C)(C)CCCC,CCCCC[N+](C)(C)CCCC.[Cl-],Chloride,62570-49-4
183,102,11,CCCCC[N+](CC)(CC)CC,CCCCC[N+](CC)(CC)CC.[Br-],Bromide,13028-70-1
209,124,11,CCC[N+](CC)(CCC)CCC,CCC[N+](CC)(CCC)CCC.[Br-],Bromide,61175-76-6
210,124,11,CCC[N+](CC)(CCC)CCC,CCC[N+](CC)(CCC)CCC.[Cl-],Chloride,58877-74-0
245,160,12,CCCCCC[N+](C)(C)CCCC,CCCCCC[N+](C)(C)CCCC.[Br-],Bromide,157986-16-8
251,163,12,CCCCCC[N+](CC)(CC)CC,CCCCCC[N+](CC)(CC)CC.[Br-],Bromide,"627-293-3, 13028-71-2"
259,168,12,CCCCC[N+](C)(C)CCCCC,CCCCC[N+](C)(C)CCCCC.[Br-],Bromide,700380-89-8
275,188,12,CCCC[N+](CC)(CC)CCCC,CCCC[N+](CC)(CC)CCCC.[Br-],Bromide,289885-08-1
289,207,12,CCC[N+](CCC)(CCC)CCC,CCC[N+](CCC)(CCC)CCC.[Br-],Bromide,"217-727-6, 1941-30-6"
290,207,12,CCC[N+](CCC)(CCC)CCC,CCC[N+](CCC)(CCC)CCC.[Cl-],Chloride,"227-375-5, 5810-42-4"
302,222,13,CC(C)C[N+](C)(CC(C)C)CC(C)C,CC(C)C[N+](C)(CC(C)C)CC(C)C.[Cl-],Chloride,123617-55-0
310,248,13,CCCCCCC[N+](CC)(CC)CC,CCCCCCC[N+](CC)(CC)CC.[Cl-],Chloride,62977-86-0
331,289,13,CCCC[N+](C)(CCCC)CCCC,CCCC[N+](C)(CCCC)CCCC.[Br-],Bromide,"253-313-1, 37026-88-3"
332,289,13,CCCC[N+](C)(CCCC)CCCC,CCCC[N+](C)(CCCC)CCCC.[Cl-],Chloride,"56375-79-2, 260-135-8"
335,301,13,CCCC[N+](CCC)(CCC)CCC,CCCC[N+](CCC)(CCC)CCC.[Br-],Bromide,"262-637-2, 61175-77-7"
336,301,13,CCCC[N+](CCC)(CCC)CCC,CCCC[N+](CCC)(CCC)CCC.[Cl-],Chloride,186033-08-9
354,377,14,CCCCCC[N+](C)(C)CCCCCC,CCCCCC[N+](C)(C)CCCCCC.[Cl-],Chloride,82941-31-9
376,420,14,CCCCC[N+](CCC)(CCC)CCC,CCCCC[N+](CCC)(CCC)CCC.[Cl-],Chloride,1624317-14-1
383,443,14,CCCC[N+](CC)(CCCC)CCCC,CCCC[N+](CC)(CCCC)CCCC.[Br-],Bromide,37026-89-4
384,443,14,CCCC[N+](CC)(CCCC)CCCC,CCCC[N+](CC)(CCCC)CCCC.[Cl-],Chloride,73586-07-9
415,562,15,CCCCCC[N+](CCC)(CCC)CCC,CCCCCC[N+](CCC)(CCC)CCC.[Br-],Bromide,61175-78-8
416,562,15,CCCCCC[N+](CCC)(CCC)CCC,CCCCCC[N+](CCC)(CCC)CCC.[Cl-],Chloride,1384116-44-2
427,630,15,CCCC[N+](CCC)(CCCC)CCCC,CCCC[N+](CCC)(CCCC)CCCC.[Br-],Bromide,36477-16-4
431,653,16,CC(C)(C)[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,CC(C)(C)[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C.[Br-],Bromide,56664-66-5
432,653,16,CC(C)(C)[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,CC(C)(C)[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C.[Cl-],Chloride,99928-95-7
439,705,16,CCCCCCC[N+](C)(C)CCCCCCC,CCCCCCC[N+](C)(C)CCCCCCC.[Br-],Bromide,187731-22-2
440,705,16,CCCCCCC[N+](C)(C)CCCCCCC,CCCCCCC[N+](C)(C)CCCCCCC.[Cl-],Chloride,106128-47-6
447,731,16,CCCCCCC[N+](CCC)(CCC)CCC,CCCCCCC[N+](CCC)(CCC)CCC.[Br-],Bromide,187731-24-4
453,753,16,CCCCCC[N+](CC)(CC)CCCCCC,CCCCCC[N+](CC)(CC)CCCCCC.[Br-],Bromide,75174-76-4
471,844,16,CCCC[N+](CCCC)(CC(C)C)CC(C)C,CCCC[N+](CCCC)(CC(C)C)CC(C)C.[Br-],Bromide,1627505-91-2
477,849,16,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],Bromide,"1643-19-2, 216-699-2"
478,849,16,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],Chloride,"1112-67-0, 214-195-7"
494,1010,17,CCCCC[N+](CC)(CCCCC)CCCCC,CCCCC[N+](CC)(CCCCC)CCCCC.[Cl-],Chloride,1624317-15-2
497,1033,17,CCCCC[N+](CCCC)(CCCC)CCCC,CCCCC[N+](CCCC)(CCCC)CCCC.[Br-],Bromide,"253-314-7, 37026-92-9"
498,1033,17,CCCCC[N+](CCCC)(CCCC)CCCC,CCCCC[N+](CCCC)(CCCC)CCCC.[Cl-],Chloride,916772-26-4
501,1066,17,CCCC[N+](CCCC)(CCCC)CCC(C)C,CCCC[N+](CCCC)(CCCC)CCC(C)C.[Br-],Bromide,43017-77-2
515,1211,18,CCCCCC[N+](CCCC)(CCCC)CCCC,CCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],Bromide,37026-90-7
517,1240,18,CCCCC[N+](CCC)(CCCCC)CCCCC,CCCCC[N+](CCC)(CCCCC)CCCCC.[Br-],Bromide,102394-41-2
519,1250,18,CCCCC[N+](CCCC)(CCCC)CCCCC,CCCCC[N+](CCCC)(CCCC)CCCCC.[Br-],Bromide,897665-05-3
529,1356,19,CCCCCCC[N+](CCCC)(CCCC)CCCC,CCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],Bromide,"85169-31-9, 285-974-7"
531,1363,19,CCCCCC[N+](C)(CCCCCC)CCCCCC,CCCCCC[N+](C)(CCCCCC)CCCCCC.[Br-],Bromide,2390-64-9
537,1455,19,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],Bromide,7322-37-4
538,1455,19,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Cl-],Chloride,88478-55-1
540,1456,20,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C,CC(C)CC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Cl-],Chloride,32795-95-2
547,1542,20,CCCCCC[N+](CC)(CCCCCC)CCCCCC,CCCCCC[N+](CC)(CCCCCC)CCCCCC.[Br-],Bromide,61175-73-3
551,1600,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],Bromide,"866-97-7, 212-756-0"
552,1600,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Cl-],Chloride,"4965-17-7, 225-606-4"
